No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,yearly how many weeks,1000000,3,201569,45,http://time.now/articles/how-many-weeks-are-in-a-year/
2,how many weeks for year,1000000,3,201569,51,http://time.now/articles/how-many-weeks-are-in-a-year/
3,how many weeks are in a calendar year,1000000,4,136577,52,http://time.now/articles/how-many-weeks-are-in-a-year/
4,how many weeks in years,1000000,4,136577,42,http://time.now/articles/how-many-weeks-are-in-a-year/
5,now in est,301000,3,65430,79,http://time.now/timezones/est/
6,time now,110000,1,25863,74,http://time.now/
7,post standard time,201000,2,17742,72,http://time.now/timezones/pst/
8,now est,246000,2,17665,63,http://time.now/timezones/est/
9,what time china,165000,2,17396,32,http://time.now/countries/china/
10,time in pst now,201000,2,17396,71,http://time.now/timezones/pst/
11,china what time is it,165000,2,17396,45,http://time.now/countries/china/
12,what time is it new york city,165000,2,17396,60,http://time.now/new-york-city/
13,what time it in china,165000,2,17396,62,http://time.now/countries/china/
14,what time is it now in china,165000,2,17396,35,http://time.now/countries/china/
15,what is time now in china,165000,2,17396,45,http://time.now/countries/china/
16,what is the time in china now,165000,2,17396,45,http://time.now/countries/china/
17,what time in china,165000,2,17396,45,http://time.now/countries/china/
18,what time is it in china,165000,2,17396,45,http://time.now/countries/china/
19,china what time,165000,2,17396,45,http://time.now/countries/china/
20,what is time in new york city,165000,2,17396,69,http://time.now/new-york-city/
21,what the time in china now,165000,2,17396,35,http://time.now/countries/china/
22,time for australia,201000,2,17396,60,http://time.now/countries/australia/
23,what time it is in china,165000,2,17396,45,http://time.now/countries/china/
24,what time is now in china,165000,2,17396,53,http://time.now/countries/china/
25,pst time now,201000,2,17396,58,http://time.now/timezones/pst/
26,what is chinese time now,165000,2,17396,45,http://time.now/countries/china/
27,what is china time now,165000,2,17396,51,http://time.now/countries/china/
28,what time is it china,165000,2,17396,45,http://time.now/countries/china/
29,pst right now,201000,3,11785,73,http://time.now/timezones/pst/
