Ülke,Son 28 gün Tıklamalar,Önceki 28 gün Tıklamalar,Son 28 gün Gösterimler,Önceki 28 gün Gösterimler,Son 28 gün TO,Önceki 28 gün TO,Son 28 gün Pozisyon,Önceki 28 gün Pozisyon
Hindistan,2,3,574,3090,0.35%,0.1%,23.6,24.13
Amerika Birleşik Devletleri,1,5,3794,14684,0.03%,0.03%,28.35,29.29
İngiltere,1,0,1113,4418,0.09%,0%,39.77,35.87
Endonezya,1,1,155,982,0.65%,0.1%,14.38,20.94
Avusturya,1,0,111,354,0.9%,0%,13.59,17.03
Kanada,0,1,792,3372,0%,0.03%,33.02,33.55
Avustralya,0,0,746,2511,0%,0%,40.09,33.21
Filipinler,0,0,422,1296,0%,0%,45.82,29.59
Hollanda,0,1,408,1417,0%,0.07%,25.54,20.25
Almanya,0,0,325,1070,0%,0%,31.14,31.33
Birleşik Arap Emirlikleri,0,0,302,1063,0%,0%,22.4,32.4
Singapur,0,2,301,1076,0%,0.19%,25.57,32.84
İspanya,0,0,293,1282,0%,0%,20.49,22.2
İrlanda,0,0,268,836,0%,0%,16.29,27.86
Güney Afrika,0,0,268,463,0%,0%,43.71,22.91
Brezilya,0,1,263,923,0%,0.11%,20.21,26.63
Tayland,0,0,225,915,0%,0%,18,17.75
Nijerya,0,1,189,1058,0%,0.09%,24.76,33.35
İsrail,0,1,167,595,0%,0.17%,24.46,25.99
İsviçre,0,0,158,383,0%,0%,24.8,22.16
Fransa,0,2,155,734,0%,0.27%,25.41,25.52
Güney Kore,0,0,154,625,0%,0%,14.58,15.77
Japonya,0,0,150,455,0%,0%,15.23,14.08
Mısır,0,0,145,1021,0%,0%,16.34,20.64
Türkiye,0,0,141,891,0%,0%,16.76,20.96
Malezya,0,1,133,458,0%,0.22%,20.5,26.21
İtalya,0,1,130,678,0%,0.15%,18.58,22.39
Portekiz,0,0,125,554,0%,0%,12.87,19.71
Hong Kong,0,0,115,391,0%,0%,22.07,25.49
Katar,0,0,111,391,0%,0%,15.58,19.67
Meksika,0,0,107,510,0%,0%,18.51,21.4
Yeni Zelanda,0,0,105,494,0%,0%,32.81,40.12
Kenya,0,0,103,323,0%,0%,16.46,27.91
Vietnam,0,0,100,877,0%,0%,37.91,27.26
Suudi Arabistan,0,0,67,693,0%,0%,24.66,25.86
Pakistan,0,0,59,597,0%,0%,26.24,34.86
Polonya,0,0,57,194,0%,0%,33.23,25.8
Çin,0,0,56,260,0%,0%,11.23,13.99
İsveç,0,0,54,164,0%,0%,30.76,33.67
Arjantin,0,0,52,134,0%,0%,13.4,23.51
Norveç,0,0,51,179,0%,0%,38.84,39.85
Colombia,0,0,46,377,0%,0%,22.67,28.36
Belçika,0,0,43,171,0%,0%,20.44,25.13
Yunanistan,0,0,39,136,0%,0%,32.21,35.88
Danimarka,0,0,37,175,0%,0%,45.7,40.53
İran,0,0,36,108,0%,0%,9.56,9.94
Rusya,0,0,36,190,0%,0%,11.69,19.64
Bangladeş,0,0,35,318,0%,0%,19.97,30.19
Romanya,0,0,35,174,0%,0%,23.86,34.5
Ukrayna,0,0,33,195,0%,0%,19.21,26.66
Çekya,0,0,29,125,0%,0%,31.24,29.13
Fas,0,0,28,151,0%,0%,25.82,35.4
